"pid","age","handedness","bid","STROOP.rcs.overall","TASKSWITCH.rcs.overall","BRT.rt_mean.correct","BRT.rt_mean.correct.dominant","BRT.rt_mean.correct.nondominant","BACKWARDSSPATIALSPAN.object_count_span.overall"
"wpi6172964653ia1639",18,"RIGHT","wpi6172964653ia1639.session0",1.59792701360397,1.53317034765674,307.9,305.733333333333,310.066666666667,NA
"wpi6172z971436g3640",18,"LEFT","wpi6172z971436g3640.session0",1.60685591858597,1.6994541147389,304.689655172414,301.266666666667,308.357142857143,NA
"wpi6172964je1750738",20,"RIGHT","wpi6172964je1750738.session0",2.04582651391162,2.12816268621423,258.62962962963,270.538461538462,247.571428571429,NA
"wpi617v297313h20163",18,"RIGHT","wpi617v297313h20163.session0",1.56726164562473,1.94542299805458,281.724137931034,276.866666666667,286.928571428571,NA
"wpi6p17b29773735995",18,"RIGHT","wpi6p17b29773735995.session0",1.8733977519227,1.29012673597936,292.48275862069,291.642857142857,293.266666666667,NA
"wpi61s7297926890r26",22,"RIGHT","wpi61s7297926890r26.session0",1.82442584245546,2.0746887966805,277.068965517241,271.357142857143,282.4,NA
"wpi61f730130297q771",21,"RIGHT","wpi61f730130297q771.session0",1.57894736842105,1.62045372704357,297.758620689655,297.866666666667,297.642857142857,NA
"wpi6im1729883307292",18,"RIGHT","wpi6im1729883307292.session0",1.36542737876955,1.10199118407053,261.448275862069,265.428571428571,257.733333333333,NA
"wpi617t29952p498059",19,"RIGHT","wpi617t29952p498059.session0",1.84792651774553,2.21146374992529,329.533333333333,306.933333333333,352.133333333333,NA
"wpi61o72998d8194381",18,"RIGHT","wpi61o72998d8194381.session0",1.64049683618467,2.08385956049507,253.592592592593,253.2,254.083333333333,NA
"wpi6172995d42826h37",20,"RIGHT","wpi6172995d42826h37.session0",1.84566269267222,2.42466227918254,268.344827586207,260.714285714286,275.466666666667,NA
"wpi61v729990s628152",20,"RIGHT","wpi61v729990s628152.session0",1.75244419848736,1.63117753383591,276.931034482759,277.214285714286,276.666666666667,NA
"wpi617299937o1947y5",20,"LEFT","wpi617299937o1947y5.session0",1.4481409001957,1.91719778226851,306.862068965517,277.357142857143,334.4,NA
"wpi617302246zq87473",18,"RIGHT","wpi617302246zq87473.session0",1.43884892086331,1.62971010914119,283.310344827586,298.933333333333,266.571428571429,NA
"wpi6172961p31629m81",35,"RIGHT","wpi6172961p31629m81.session0",NA,0.878177294238181,536.791666666667,476.416666666667,597.166666666667,NA
"wpi3172607h07554f66",NA,NA,"wpi3172607h07554f66.session0",NA,NA,NA,NA,NA,6
"wpi317260908131rg02",NA,NA,"wpi317260908131rg02.session0",NA,NA,NA,NA,NA,6
"wpi317260916jq52858",NA,NA,"wpi317260916jq52858.session0",NA,NA,NA,NA,NA,7
"wpi31726101m69o4147",NA,NA,"wpi31726101m69o4147.session0",NA,NA,NA,NA,NA,7
"wpi31726164a2x17277",NA,NA,"wpi31726164a2x17277.session0",NA,NA,NA,NA,NA,7
"wpi31726232712u94e4",NA,NA,"wpi31726232712u94e4.session0",NA,NA,NA,NA,NA,6
"wpi3172626625ps4717",NA,NA,"wpi3172626625ps4717.session0",NA,NA,NA,NA,NA,6
"wpi3172649rv8916449",NA,NA,"wpi3172649rv8916449.session0",NA,NA,NA,NA,NA,7
"wpi317267805g915b58",NA,NA,"wpi317267805g915b58.session0",NA,NA,NA,NA,NA,7
"wpi317267968y60z431",NA,NA,"wpi317267968y60z431.session0",NA,NA,NA,NA,NA,7
"wpi317268466260j2r8",NA,NA,"wpi317268466260j2r8.session0",NA,NA,NA,NA,NA,NA
"wpi3172694xk1971360",NA,NA,"wpi3172694xk1971360.session0",NA,NA,NA,NA,NA,7
"wpi31726e22d9385259",NA,NA,"wpi31726e22d9385259.session0",NA,NA,NA,NA,NA,8
"wpi31726lg255892316",NA,NA,"wpi31726lg255892316.session0",NA,NA,NA,NA,NA,7
"wpi31727054008s5o20",NA,NA,"wpi31727054008s5o20.session0",NA,NA,NA,NA,NA,6
"wpi31727411001m2j16",NA,NA,"wpi31727411001m2j16.session0",NA,NA,NA,NA,NA,7
"wpi3172771m38y19382",NA,NA,"wpi3172771m38y19382.session0",NA,NA,NA,NA,NA,6
"wpi31727886g187w667",NA,NA,"wpi31727886g187w667.session0",NA,NA,NA,NA,NA,5
"wpi31727d8083o32028",NA,NA,"wpi31727d8083o32028.session0",NA,NA,NA,NA,NA,7
"wpi3172804d3288r960",NA,NA,"wpi3172804d3288r960.session0",NA,NA,NA,NA,NA,7
"wpi31728350vw892173",NA,NA,"wpi31728350vw892173.session0",NA,NA,NA,NA,NA,6
"wpi31728354q41e2264",NA,NA,"wpi31728354q41e2264.session0",NA,NA,NA,NA,NA,7
"wpi3172838877y18g70",NA,NA,"wpi3172838877y18g70.session0",NA,NA,NA,NA,NA,9
"wpi3172852o33n06907",NA,NA,"wpi3172852o33n06907.session0",NA,NA,NA,NA,NA,7
"wpi31728q4153194o63",NA,NA,"wpi31728q4153194o63.session0",NA,NA,NA,NA,NA,9
"wpi3172l599450p4737",NA,NA,"wpi3172l599450p4737.session0",NA,NA,NA,NA,NA,NA
"wpi3172v60918i15228",NA,NA,"wpi3172v60918i15228.session0",NA,NA,NA,NA,NA,7
"wpi3172z609y1394122",NA,NA,"wpi3172z609y1394122.session0",NA,NA,NA,NA,NA,6
"wpi317a26598735x061",NA,NA,"wpi317a26598735x061.session0",NA,NA,NA,NA,NA,9
"wpi317b2769p3554604",NA,NA,"wpi317b2769p3554604.session0",NA,NA,NA,NA,NA,6
"wpi317c28236117y670",NA,NA,"wpi317c28236117y670.session0",NA,NA,NA,NA,NA,7
"wpi317d26k247126090",NA,NA,"wpi317d26k247126090.session0",NA,NA,NA,NA,NA,8
"wpi317fz27817412137",NA,NA,"wpi317fz27817412137.session0",NA,NA,NA,NA,NA,7
"wpi317g2632f5360053",NA,NA,"wpi317g2632f5360053.session0",NA,NA,NA,NA,NA,8
"wpi317o2t7806106208",NA,NA,"wpi317o2t7806106208.session0",NA,NA,NA,NA,NA,5
"wpi317p2780p3812651",NA,NA,"wpi317p2780p3812651.session0",NA,NA,NA,NA,NA,7
"wpi317r260913860u89",NA,NA,"wpi317r260913860u89.session0",NA,NA,NA,NA,NA,7
"wpi317r27i913234962",NA,NA,"wpi317r27i913234962.session0",NA,NA,NA,NA,NA,6
"wpi317v2838p9801781",NA,NA,"wpi317v2838p9801781.session0",NA,NA,NA,NA,NA,7
"wpi317y28349310y123",NA,NA,"wpi317y28349310y123.session0",NA,NA,NA,NA,NA,7
"wpi31a72849t2867197",NA,NA,"wpi31a72849t2867197.session0",NA,NA,NA,NA,NA,8
"wpi31f72615w9243785",NA,NA,"wpi31f72615w9243785.session0",NA,NA,NA,NA,NA,7
"wpi31mr727904493436",NA,NA,"wpi31mr727904493436.session0",NA,NA,NA,NA,NA,6
"wpi31n726160893s822",NA,NA,"wpi31n726160893s822.session0",NA,NA,NA,NA,NA,NA
"wpi3ag1728443677168",NA,NA,"wpi3ag1728443677168.session0",NA,NA,NA,NA,NA,7
"wpi3g17a26157102114",NA,NA,"wpi3g17a26157102114.session0",NA,NA,NA,NA,NA,6
"wpi3g17t27787793368",NA,NA,"wpi3g17t27787793368.session0",NA,NA,NA,NA,NA,7
"wpi3j172v6090848366",NA,NA,"wpi3j172v6090848366.session0",NA,NA,NA,NA,NA,7
"wpi3l172r6318006716",NA,NA,"wpi3l172r6318006716.session0",NA,NA,NA,NA,NA,7
"wpi3l1z728059670253",NA,NA,"wpi3l1z728059670253.session0",NA,NA,NA,NA,NA,6
"wpi3pf1726083661580",NA,NA,"wpi3pf1726083661580.session0",NA,NA,NA,NA,NA,7
"wpi3s17275723569x62",NA,NA,"wpi3s17275723569x62.session0",NA,NA,NA,NA,NA,9
"wpi617299937o1947y5",20,"LEFT","wpi617299937o1947y5.session1",NA,NA,320.793103448276,335.857142857143,306.733333333333,NA
