"pid","age","handedness","bid","STROOP.rcs.overall","TASKSWITCH.rcs.overall","BRT.rt_mean.correct","BRT.rt_mean.correct.dominant","BRT.rt_mean.correct.nondominant","BACKWARDSSPATIALSPAN.object_count_span.overall","date"
"wpi6174231530i78e83",20,"RIGHT","wpi6174231530i78e83.session0",1.42498218772265,1.6569592287608,260.04,251.416666666667,268,6,"2025-03-18_12h45.50.554"
"wpi617z42g312914732",19,"RIGHT","wpi617z42g312914732.session0",1.79038699903595,1.55833504203404,264.344827586207,255.857142857143,272.266666666667,6,"2025-03-18_12h06.47.065"
"wpi6173730609q4x876",22,"RIGHT","wpi6173730609q4x876.session0",1.41643059490085,1.45573249812519,323.333333333333,302.333333333333,344.333333333333,7,"2025-01-19_12h20.14.618"
"wpi6o1d733879690572",19,"RIGHT","wpi6o1d733879690572.session0",2.09051949409428,1.88939386202318,342.233333333333,325.6,358.866666666667,7,"2024-12-10_20h33.22.136"
"wpi617338430c619k41",19,"RIGHT","wpi617338430c619k41.session0",1.22953699149863,1.60919540229885,284.433333333333,267.8,301.066666666667,6,"2024-12-10_10h23.20.895"
"wpi6173y3b374550702",20,"RIGHT","wpi6173y3b374550702.session0",2.1305225386858,2.63664220052733,230.411764705882,223,237,8,"2024-12-05_00h12.11.167"
"wpi617305q196215x98",18,"RIGHT","wpi617305q196215x98.session0",1.42745912276148,1.70299727520436,360.142857142857,335.642857142857,384.642857142857,7,"2024-11-02_00h08.26.474"
"wpi61732e040001i696",18,"LEFT","wpi61732e040001i696.session0",1.99690479756378,1.95301904193566,307.366666666667,269,345.733333333333,7,"2024-11-19_13h30.07.684"
"wpi61733866534x70k0",21,"RIGHT","wpi61733866534x70k0.session0",2.13515533255044,1.71973270440252,273.166666666667,281.909090909091,259.428571428571,7,"2024-12-10_16h55.15.566"
"wpi617338t8102032o8",20,"RIGHT","wpi617338t8102032o8.session0",2.11359202254498,2.18732473359506,247.8,255.533333333333,240.066666666667,8,"2024-12-10_20h53.11.135"
"wpi6p173e3404848397",20,"RIGHT","wpi6p173e3404848397.session0",1.80952380952381,1.93205602962486,234.481481481481,226.846153846154,241.571428571429,5,"2024-12-05_08h36.23.926"
"wpi6173152o923x6087",21,"RIGHT","wpi6173152o923x6087.session0",1.73880351520278,1.76758749558103,289.137931034483,285.785714285714,292.266666666667,8,"2024-11-13_15h47.21.515"
"wpi61731yu427650316",19,"RIGHT","wpi61731yu427650316.session0",1.33707714935152,1.18703881937761,363.333333333333,396.666666666667,330,7,"2024-11-12_11h23.42.966"
"wpi61731u428574p274",20,"RIGHT","wpi61731u428574p274.session0",1.26773110395395,1.46782257694601,268.448275862069,257.214285714286,278.933333333333,6,"2024-11-12_11h44.53.378"
"wpi61r7320512a66565",17,"RIGHT","wpi61r7320512a66565.session0",1.60361842105263,0.973910990437965,322.833333333333,340.133333333333,305.533333333333,7,"2024-11-19_16h41.18.187"
"wpi6j17320561193z94",21,"RIGHT","wpi6j17320561193z94.session0",1.46423878355547,2.68247917549061,238.833333333333,227.733333333333,249.933333333333,8,"2024-11-20_14h16.39.657"
"wpi617g334u18281498",19,"RIGHT","wpi617g334u18281498.session0",1.63440860215054,1.72070277123709,265.5,276.6,254.4,7,"2024-12-05_12h25.47.825"
"wpi61732f06186998p5",19,"RIGHT","wpi61732f06186998p5.session0",2.23099365024884,2.54111667960754,256.931034482759,246.6,268,7,"2024-11-19_19h34.20.379"
"wpi61c730p668698806",18,"LEFT","wpi61c730p668698806.session0",1.83440753594447,2.53029697696098,260.566666666667,243.333333333333,277.8,7,"2024-11-03_16h36.12.916"
"wpi617gc32670874638",20,"RIGHT","wpi617gc32670874638.session0",1.77746178457163,2.3257166114309,261.133333333333,264.533333333333,257.733333333333,6,"2024-11-26_20h45.09.820"
"wpi617m3326052i0740",19,"LEFT","wpi617m3326052i0740.session0",1.47070206672343,1.09925179958158,368.379310344828,334.5,400,6,"2024-12-03_16h32.13.750"
"wpi6173g35w09397341",18,"RIGHT","wpi6173g35w09397341.session0",1.40115489130435,1.65966495513718,291.7,281.2,302.2,7,"2024-12-06_13h40.15.764"
"wpi6t173k3427113063",20,"RIGHT","wpi6t173k3427113063.session0",1.61445152282049,1.52293098947002,378.827586206897,360.2,398.785714285714,7,"2024-12-05_14h47.47.431"
"wpi6q1r733262180904",18,"RIGHT","wpi6q1r733262180904.session0",2.14505188706592,2.47456695078361,303.3,265.6,341,9,"2024-12-03_17h04.19.954"
"wpi6173377gk2367722",19,"RIGHT","wpi6173377gk2367722.session0",1.40918193280427,1.19482964625801,281.733333333333,281.266666666667,282.2,7,"2024-12-09_14h53.01.534"
"wpi61732n11706z1483",19,"RIGHT","wpi61732n11706z1483.session0",1.69242417494321,1.72622935523001,284.933333333333,281.066666666667,288.8,7,"2024-11-20_11h18.11.132"
"wpi61c73t3962767618",18,"RIGHT","wpi61c73t3962767618.session0",1.11107862343206,0.854249893218763,374.966666666667,376.6,373.333333333333,6,"2024-12-11_21h03.08.659"
"wpi617338x618132w85",18,"RIGHT","wpi617338x618132w85.session0",1.9163677460567,1.43388448268136,274.620689655172,268.866666666667,280.785714285714,6,"2024-12-10_15h36.22.916"
"wpi617321252q35c400",20,"RIGHT","wpi617321252q35c400.session0",2.08974923009239,2.23131275567125,275.642857142857,259.066666666667,294.769230769231,7,"2024-11-20_13h09.39.978"
"wpi617321k3341129z9",21,"LEFT","wpi617321k3341129z9.session0",2.39203516938195,2.65604249667995,212.45,219.9,205,7,"2024-11-20_15h25.17.465"
"wpi61wq733864020191",18,"LEFT","wpi61wq733864020191.session0",1.68117941201828,1.64291106078771,309.466666666667,299.866666666667,319.066666666667,8,"2024-12-10_16h12.06.731"
"wpi6173o073186z1469",18,"RIGHT","wpi6173o073186z1469.session0",1.37884773049117,1.81913925989755,402.275862068966,395.142857142857,408.933333333333,6,"2024-11-04_10h13.24.456"
"wpi6173343z22520d13",20,"RIGHT","wpi6173343z22520d13.session0",1.52242651364328,1.56711739948061,324.4,302.2,346.6,7,"2024-12-05_16h14.14.583"
"wpi61l7339482913t05",19,"RIGHT","wpi61l7339482913t05.session0",2.03186824938509,1.93167393344004,288.620689655172,289,288.214285714286,NA,"2024-12-11_15h30.42.479"
"wpi6o173817567g7689",19,"RIGHT","wpi6o173817567g7689.session0",1.42164546349287,0.929033804842963,379.5,395.6,363.4,6,"2025-01-29_13h52.45.522"
"wpi6172964653ia1639",18,"RIGHT","wpi6172964653ia1639.session0",1.57421599900576,1.53317034765674,307.9,305.733333333333,310.066666666667,8,"2024-10-22_21h41.59.271"
"wpi6172964je1750738",20,"RIGHT","wpi6172964je1750738.session0",2.04582651391162,2.04986149584488,261.892857142857,276.214285714286,247.571428571429,7,"2024-10-22_20h17.08.555"
"wpi6172z971436g3640",18,"LEFT","wpi6172z971436g3640.session0",1.60685591858597,1.64378263391994,315.666666666667,301.266666666667,330.066666666667,NA,"2024-10-23_16h28.16.242"
"wpi617v297313h20163",18,"RIGHT","wpi617v297313h20163.session0",1.56726164562473,1.86402433042284,286.766666666667,276.866666666667,296.666666666667,6,"2024-10-23_21h13.12.143"
"wpi61733687k3402p19",18,"RIGHT","wpi61733687k3402p19.session0",1.53721682847896,1.2947602670443,303.733333333333,317.533333333333,289.933333333333,8,"2024-12-08_15h06.20.630"
"wpi6173378039p08q93",18,"LEFT","wpi6173378039p08q93.session0",1.93541815218499,2.07833733013589,257.37037037037,242.833333333333,269,8,"2024-12-09_17h02.39.649"
"wpi617f339q34159746",20,"RIGHT","wpi617f339q34159746.session0",1.66896148871365,1.36284946038528,316.633333333333,335.533333333333,297.733333333333,7,"2024-12-11_11h42.08.432"
"wpi61732n2e95074607",19,"RIGHT","wpi61732n2e95074607.session0",1.92912986089958,2.13255513777429,262.8,253.466666666667,272.133333333333,8,"2024-11-22_12h25.39.044"
"wpi61c731899243p416",19,"RIGHT","wpi61c731899243p416.session0",1.81684262214584,1.38722977919926,272.266666666667,255.533333333333,289,5,"2024-11-17_22h29.21.651"
"wpi6p17b29773735995",18,"RIGHT","wpi6p17b29773735995.session0",1.84249066943828,1.29012673597936,298.833333333333,304.4,293.266666666667,8,"2024-10-24_09h06.58.456"
"wpi6173084465wg9125",19,"RIGHT","wpi6173084465wg9125.session0",1.50727856887866,1.47195537651069,333.413793103448,300,364.6,8,"2024-11-05_17h33.37.523"
"wpi61s7297926890r26",22,"RIGHT","wpi61s7297926890r26.session0",1.80078205392056,2.0746887966805,284.5,286.6,282.4,7,"2024-10-24_17h33.40.940"
"wpi6173388493v28x43",20,"RIGHT","wpi6173388493v28x43.session0",2.13287831929188,1.43861235562497,264.965517241379,264.285714285714,265.6,7,"2024-12-11_02h21.32.757"
"wpi617t29952p498059",19,"RIGHT","wpi617t29952p498059.session0",1.81988352745424,2.21146374992529,329.533333333333,306.933333333333,352.133333333333,8,"2024-10-26_10h43.43.925"
"wpi61y733962t796929",19,"RIGHT","wpi61y733962t796929.session0",1.89292821433772,2.55264837268666,355.58064516129,338,372.0625,8,"2024-12-11_19h36.41.291"
"wpi6173376y1l465318",20,"RIGHT","wpi6173376y1l465318.session0",1.76878770012245,1.18203309692671,346.166666666667,345.533333333333,346.8,NA,"2024-12-09_11h37.07.148"
"wpi6im1729883307292",18,"RIGHT","wpi6im1729883307292.session0",1.34584470447493,1.10199118407053,261.448275862069,265.428571428571,257.733333333333,6,"2024-10-25_15h35.59.824"
"wpi6172995d42826h37",20,"RIGHT","wpi6172995d42826h37.session0",1.84566269267222,2.31749710312862,273.266666666667,271.066666666667,275.466666666667,7,"2024-10-26_11h09.35.640"
"wpi61v729990s628152",20,"RIGHT","wpi61v729990s628152.session0",1.71421036437959,1.63117753383591,280.466666666667,284.266666666667,276.666666666667,9,"2024-10-26_21h13.06.749"
"wpi61o72998d8194381",18,"RIGHT","wpi61o72998d8194381.session0",1.64049683618467,2.08385956049507,274.285714285714,253.2,298.615384615385,7,"2024-10-26_20h39.31.088"
"wpi617299937o1947y5",20,"LEFT","wpi617299937o1947y5.session0",1.39026085683972,1.86741363211951,324.4,314.4,334.4,NA,"2024-10-26_22h10.05.672"
"wpi61f730130297q771",21,"RIGHT","wpi61f730130297q771.session0",1.57894736842105,1.58011615989067,307.833333333333,297.866666666667,317.8,8,"2024-10-28_12h03.30.592"
"wpi6d173397n9368828",18,"RIGHT","wpi6d173397n9368828.session0",1.40712945590994,1.38472190168474,354.933333333333,317.8,392.066666666667,NA,"2024-12-12_00h13.48.579"
"wpi617302246zq87473",18,"RIGHT","wpi617302246zq87473.session0",1.43884892086331,1.5542577241899,291.666666666667,298.933333333333,284.4,7,"2024-10-29_14h16.44.531"
"wpi61731p98h6309774",21,"RIGHT","wpi61731p98h6309774.session0",1.77561796177749,2.10617270616191,273.178571428571,267.666666666667,279.538461538462,7,"2024-11-18_22h35.11.496"
"wpi617n3308449928h0",18,"RIGHT","wpi617n3308449928h0.session0",1.36200716845878,1.31386861313869,336.633333333333,329.866666666667,343.4,6,"2024-12-01_15h36.55.290"
"wpi617331100hb17783",19,"RIGHT","wpi617331100hb17783.session0",2.17752564322961,1.50105073551486,267.758620689655,252.357142857143,282.133333333333,7,"2024-12-01_22h42.47.673"
"wpi61d732z553804786",18,"LEFT","wpi61d732z553804786.session0",2.12302363260517,2.15256289519709,252.37037037037,247.384615384615,257,7,"2024-11-25_12h14.30.148"
"wpi61733110vd258966",19,"RIGHT","wpi61733110vd258966.session0",2.24143451809158,2.51798561151079,241.714285714286,237.076923076923,245.733333333333,8,"2024-12-01_22h53.04.435"
"wpi6173v344849k3973",19,"RIGHT","wpi6173v344849k3973.session0",1.72743825575424,1.45193662723662,300.633333333333,286.8,314.466666666667,7,"2024-12-05_20h46.54.514"
"wpi617338709n4643h7",21,"RIGHT","wpi617338709n4643h7.session0",1.13143503677164,1.41110065851364,382.206896551724,381.214285714286,383.133333333333,7,"2024-12-10_18h08.43.233"
"wpi6y173o3868476910",19,"RIGHT","wpi6y173o3868476910.session0",1.71986443421519,2.24674552302914,279.448275862069,258.5,299,7,"2024-12-10_18h06.33.679"
"wpi6v1o731016901691",21,"RIGHT","wpi6v1o731016901691.session0",1.76756517896597,1.90456036398265,271.931034482759,267.733333333333,276.428571428571,6,"2024-11-07_17h21.49.850"
"wpi6173102fk4950044",19,"RIGHT","wpi6173102fk4950044.session0",1.95051842726619,1.87830557065889,290.033333333333,267.933333333333,312.133333333333,7,"2024-11-07_19h33.11.265"
"wpi6l1733792v298275",20,"RIGHT","wpi6l1733792v298275.session0",1.85564067183708,2.11198960251273,326.1,321.066666666667,331.133333333333,7,"2024-12-09_20h27.12.541"
"wpi6173038474v3d659",20,"RIGHT","wpi6173038474v3d659.session0",1.45324696894204,1.68602472836268,312.233333333333,303.466666666667,321,8,"2024-10-31_11h00.50.829"
"wpi617337j6800257n0",18,"RIGHT","wpi617337j6800257n0.session0",2.1011714030572,1.81347150259067,227.321428571429,233.2,220.538461538462,7,"2024-12-09_13h33.38.896"
"wpi61733770t03c8588",19,"LEFT","wpi61733770t03c8588.session0",2.00888137026856,2.15217116090644,245.6,231.133333333333,260.066666666667,9,"2024-12-09_14h05.34.515"
"wpi61i73396523t4991",22,"RIGHT","wpi61i73396523t4991.session0",1.91541912394778,1.85673800449526,276.733333333333,267.933333333333,285.533333333333,7,"2024-12-11_20h18.52.515"
"wpi6e1733y347534582",21,"RIGHT","wpi6e1733y347534582.session0",1.95260963639242,2.27115008516813,253.884615384615,241.066666666667,271.363636363636,8,"2024-12-04_16h46.41.494"
"wpi61i7304e00496415",21,"RIGHT","wpi61i7304e00496415.session0",1.27519393574439,0.807980359862022,411.551724137931,434.642857142857,390,NA,"2024-10-31_15h06.37.126"
